Codice,Nome,Città,Provincia,Regione,sezione rifermento
9220005,SEZIONE VENEZIA,VENEZIA,VE,VENETO,
9220024,SEZIONE ARZIGNANO,ARZIGNANO,VI,VENETO,
9220040,SEZIONE ASIAGO,ASIAGO,VI,VENETO,
9220010,SEZIONE BASSANO DEL GRAPPA,BASSANO DEL GRAPPA,VI,VENETO,
9220057,SEZIONE DUEVILLE,DUEVILLE,VI,VENETO,
9220034,SEZIONE MONTEBELLO VICENTINO,MONTEBELLO VICENTINO,VI,VENETO,
9220028,SEZIONE MONTECCHIO MAGGIORE,MONTECCHIO MAGGIORE,VI,VENETO,
9220007,SEZIONE SCHIO,SCHIO,VI,VENETO,
9220012,SEZIONE VALDAGNO,VALDAGNO,VI,VENETO,
9220004,SEZIONE VICENZA,VICENZA,VI,VENETO,
9220050,SEZIONE BOSCO CHIESANUOVA,BOSCO CHIESANUOVA,VR,VENETO,
9220062,SEZIONE CESARE BATTISTI,VERONA,VR,VENETO,
9220063,SEZIONE LEGNAGO,LEGNAGO,VR,VENETO,
9220060,SEZIONE S.BONIFACIO,SAN BONIFACIO,VR,VENETO,
9220059,SEZIONE S.PIETRO IN CARIANO,PEDEMONTE,VR,VENETO,
9220061,SEZIONE TREGNAGO,TREGNAGO,VR,VENETO,
9220003,SEZIONE VERONA,VERONA,VR,VENETO,
9232014,SEZIONE TIVOLI,TIVOLI,RM,LAZIO,
9216028,SEZIONE S.E.M.,MILANO,MI,LOMBARDIA,
9220008,SEZIONE PADOVA,PADOVA,PD,VENETO,
9212045,SEZIONE MOSSO,MOSSO,BI,PIEMONTE,
9232013,SEZIONE ESPERIA,SAN GIORGIO A LIRI,FR,LAZIO,
9216096,SEZIONE CASTIGLIONE STIVIERE,GUIDIZZOLO,MN,LOMBARDIA,
9236001,SEZIONE CAMPOBASSO,CAMPOBASSO,CB,MOLISE,
9222010,SEZIONE TARVISIO,TARVISIO,UD,FRIULI-VENEZIA GIULIA,
9242001,SEZIONE POTENZA,POTENZA,PZ,BASILICATA,
9212054,SEZIONE NOVI LIGURE,VIGNOLE BORBERA,AL,PIEMONTE,
9220025,SEZIONE CHIOGGIA,CHIOGGIA,VE,VENETO,
9212064,SEZIONE ALBA,ALBA,CN,PIEMONTE,
9228015,SEZIONE MONTEFELTRO,URBINO,PU,MARCHE,
9244006,SEZIONE VERBICARO,SANTA MARIA DEL CEDRO - FRAZ. MERCELLINA,CS,CALABRIA,
9220067,SEZIONE CAPRINO VERONESE,CAPRINO VERONESE,VR,VENETO,
9226018,SEZIONE VALDARNO INFERIORE,EMPOLI,FI,TOSCANA,
9220033,SEZIONE SAPPADA,SAPPADA,BL,VENETO,
9212073,SEZIONE PEVERAGNO,PEVERAGNO,CN,PIEMONTE,
9212050,SEZIONE MACUGNAGA,MACUGNAGA,VB,PIEMONTE,
9238006,SEZIONE CASERTA,MADDALONI,CE,CAMPANIA,
9226010,SEZIONE VIAREGGIO,VIAREGGIO,LU,TOSCANA,
9232018,SEZIONE COLLEFERRO,COLLEFERRO,RM,LAZIO,
9216034,SEZIONE BOLLATE,BOLLATE,MI,LOMBARDIA,
9224009,SEZIONE RIMINI,RIMINI,RN,EMILIA-ROMAGNA,
9230007,SEZIONE GUALDO TADINO,GUALDO TADINO,PG,UMBRIA,
9220064,SEZIONE FIUME,PADOVA,PD,VENETO,
9228012,SEZIONE SENIGALLIA,VALLONE DI SENIGALLIA,AN,MARCHE,
9220044,SEZIONE LIVINALLONGO,LIVINALLONGO DEL COL DI LANA,BL,VENETO,
9219009,SEZIONE MERANO C.A.I. A.A.,MERANO,BZ,TRENTINO-ALTO ADIGE,
9220022,SEZIONE PIEVE DI CADORE,PIEVE DI CADORE,BL,VENETO,
9210009,SEZIONE SARZANA,SARZANA,SP,LIGURIA,
9226016,SEZIONE PIETRASANTA,PIETRASANTA,LU,TOSCANA,
9234017,SEZIONE LANCIANO,LANCIANO,CH,ABRUZZO,
9224007,SEZIONE PIACENZA,PIACENZA,PC,EMILIA-ROMAGNA,
9220021,SEZIONE MESTRE,VENEZIA,VE,VENETO,
9216016,SEZIONE SEREGNO,SEREGNO,MB,LOMBARDIA,
9220046,SEZIONE MALO,MALO,VI,VENETO,
9216050,SEZIONE CANTÙ ,CANTÙ ,CO,LOMBARDIA,
9212041,SEZIONE RIVAROLO CANAVESE,RIVAROLO CANAVESE,TO,PIEMONTE,
9216081,SEZIONE VALMADRERA,VALMADRERA,LC,LOMBARDIA,
9216128,SEZIONE INVERUNO,INVERUNO,MI,LOMBARDIA,
9236002,SEZIONE ISERNIA,ISERNIA,IS,MOLISE,
9212040,SEZIONE TORTONA,TORTONA,AL,PIEMONTE,
9220018,SEZIONE CONEGLIANO,CONEGLIANO,TV,VENETO,
9222023,SEZIONE PONTEBBA,PONTEBBA,UD,FRIULI-VENEZIA GIULIA,
9216026,SEZIONE BESOZZO SUPERIORE,BESOZZO,VA,LOMBARDIA,
9212060,SEZIONE CUMIANA,CUMIANA,TO,PIEMONTE,
9212015,SEZIONE CASALE MONFERRATO,CASALE MONFERRATO,AL,PIEMONTE,
9220031,SEZIONE DOLO,DOLO,VE,VENETO,
9222005,SEZIONE GORIZIA,GORIZIA,GO,FRIULI-VENEZIA GIULIA,
9216054,SEZIONE GARDONE VAL TROMPIA,GARDONE VAL TROMPIA,BS,LOMBARDIA,
9234011,SEZIONE ATESSA,ATESSA,CH,ABRUZZO,
9226007,SEZIONE PISTOIA,PISTOIA,PT,TOSCANA,
9238002,SEZIONE CAVA DEI TIRRENI,CAVA DE' TIRRENI,SA,CAMPANIA,
9216037,SEZIONE CESANO MADERNO,CESANO MADERNO,MB,LOMBARDIA,
9220017,SEZIONE VITTORIO VENETO,VITTORIO VENETO,TV,VENETO,
9222001,SEZIONE S.A.G.- TRIESTE,TRIESTE,TS,FRIULI-VENEZIA GIULIA,
9219005,SEZIONE BRUNICO C.A.I. A.A.,BRUNICO,BZ,TRENTINO-ALTO ADIGE,
9216125,SEZIONE ROVATO,ROVATO,BS,LOMBARDIA,
9212012,SEZIONE ASTI,ASTI,AT,PIEMONTE,
9212010,SEZIONE MONDOVÌ ,MONDOVÌ ,CN,PIEMONTE,
9216004,SEZIONE LECCO,LECCO,LC,LOMBARDIA,
9216114,SEZIONE BOFFALORA SOPRA TICINO,BOFFALORA SOPRA TICINO,MI,LOMBARDIA,
9224010,SEZIONE CARPI,CARPI,MO,EMILIA-ROMAGNA,
9216094,SEZIONE BORMIO,BORMIO,SO,LOMBARDIA,
9210002,SEZIONE IMPERIA,IMPERIA,IM,LIGURIA,
9230002,SEZIONE SPOLETO,SPOLETO,PG,UMBRIA,
9220055,SEZIONE MIRANO,MIRANO,VE,VENETO,
9220051,SEZIONE MOTTA DI LIVENZA,MOTTA DI LIVENZA,TV,VENETO,
9216061,SEZIONE MORTARA,MORTARA,PV,LOMBARDIA,
9216089,SEZIONE PREMANA,PREMANA,LC,LOMBARDIA,
9216058,SEZIONE SEVESO S.PIETRO,SEVESO,MB,LOMBARDIA,
9220045,SEZIONE RECOARO TERME,RECOARO TERME,VI,VENETO,
9222018,SEZIONE SPILIMBERGO,SPILIMBERGO,PN,FRIULI-VENEZIA GIULIA,
9220052,SEZIONE ODERZO,ODERZO,TV,VENETO,
9216052,SEZIONE CHIARI,CHIARI,BS,LOMBARDIA,
9210007,SEZIONE VARAZZE,VARAZZE,SV,LIGURIA,
9232001,SEZIONE ROMA,ROMA,RM,LAZIO,
9220027,SEZIONE S.VITO DI CADORE,SAN VITO DI CADORE,BL,VENETO,
9214002,SEZIONE GRESSONEY,GRESSONEY LA TRINITÉ,AO,VALLE D'AOSTA,
9216041,SEZIONE MAGENTA,MAGENTA,MI,LOMBARDIA,
9222020,SEZIONE RAVASCLETTO,RAVASCLETTO,UD,FRIULI-VENEZIA GIULIA,
9230006,SEZIONE GUBBIO,GUBBIO,PG,UMBRIA,
9216023,SEZIONE MERATE,MERATE,LC,LOMBARDIA,
9226011,SEZIONE SESTO FIORENTINO,SESTO FIORENTINO,FI,TOSCANA,
9216063,SEZIONE CASLINO D'ERBA,CASLINO D'ERBA,CO,LOMBARDIA,
9216138,SEZIONE PARABIAGO,PARABIAGO,MI,LOMBARDIA,
9210008,SEZIONE VENTIMIGLIA,VENTIMIGLIA,IM,LIGURIA,
9238009,SEZIONE CASTELLAMMARE DI STABIA,CASTELLAMMARE DI STABIA,NA,CAMPANIA,
9216101,SEZIONE NOVATE MEZZOLA,NOVATE MEZZOLA,SO,LOMBARDIA,
9234007,SEZIONE GUARDIAGRELE,GUARDIAGRELE,CH,ABRUZZO,
9212055,SEZIONE VARZO,VARZO,VB,PIEMONTE,
9216077,SEZIONE MARIANO COMENSE,MARIANO COMENSE,CO,LOMBARDIA,
9216029,SEZIONE MORBEGNO,MORBEGNO,SO,LOMBARDIA,
9290001,SEZIONE LIMA (sciolta),DOMODOSSOLA,VB,ESTERA,
9219010,SEZIONE VAL BADIA C.A.I. A.A.,LA VILLA,BZ,TRENTINO-ALTO ADIGE,
9222022,SEZIONE FORNI AVOLTRI,FORNI AVOLTRI,UD,FRIULI-VENEZIA GIULIA,
9238008,SEZIONE BENEVENTO,BENEVENTO,BN,CAMPANIA,
9216030,SEZIONE CARATE BRIANZA,CARATE BRIANZA,MB,LOMBARDIA,
9216127,SEZIONE APRICA,APRICA,SO,LOMBARDIA,
9234004,SEZIONE SULMONA,SULMONA,AQ,ABRUZZO,
9212030,SEZIONE STRESA,STRESA,VB,PIEMONTE,
9212048,SEZIONE BRA,BRA,CN,PIEMONTE,
9226020,SEZIONE GROSSETO,GROSSETO,GR,TOSCANA,
9220016,SEZIONE CASTELFRANCO VENETO,CASTELFRANCO VENETO,TV,VENETO,
9220026,SEZIONE MAROSTICA,MAROSTICA,VI,VENETO,
9220015,SEZIONE LONIGO,LONIGO,VI,VENETO,
9232012,SEZIONE FRASCATI,FRASCATI,RM,LAZIO,
9220002,SEZIONE AURONZO DI CADORE,AURONZO DI CADORE,BL,VENETO,
9216122,SEZIONE OSTIGLIA,OSTIGLIA,MN,LOMBARDIA,
9212069,SEZIONE RIVOLI,RIVOLI,TO,PIEMONTE,
9216121,SEZIONE SOVICO,SOVICO,MB,LOMBARDIA,
9216064,SEZIONE LUINO,LUINO,VA,LOMBARDIA,
9212029,SEZIONE VALSESSERA,PORTULA,BI,PIEMONTE,
9212080,SEZIONE TRIVERO,TRIVERO,BI,PIEMONTE,
9216060,SEZIONE MENAGGIO,MENAGGIO,CO,LOMBARDIA,
9216117,SEZIONE BARZANÒ,BARZANÒ,LC,LOMBARDIA,
9216074,SEZIONE MOLTENO,MOLTENO,LC,LOMBARDIA,
9216088,SEZIONE CASSANO D'ADDA,CASSANO D'ADDA,MI,LOMBARDIA,
9216044,SEZIONE SESTO CALENDE,SESTO CALENDE,VA,LOMBARDIA,
9226013,SEZIONE MASSA,MASSA,MS,TOSCANA,
9240002,SEZIONE BARI,BARI,BA,PUGLIA,
9220011,SEZIONE CORTINA D'AMPEZZO,CORTINA D'AMPEZZO,BL,VENETO,
9232009,SEZIONE CASSINO,CASSINO,FR,LAZIO,
9212011,SEZIONE SALUZZO,SALUZZO,CN,PIEMONTE,
9232003,SEZIONE FROSINONE,FROSINONE,FR,LAZIO,
9216031,SEZIONE GERMIGNAGA,GERMIGNAGA,VA,LOMBARDIA,
9220014,SEZIONE THIENE,THIENE,VI,VENETO,
9216018,SEZIONE CHIAVENNA,CHIAVENNA,SO,LOMBARDIA,
9226006,SEZIONE LUCCA,LUCCA,LU,TOSCANA,
9212027,SEZIONE PALLANZA,VERBANIA,VB,PIEMONTE,
9212070,SEZIONE FORMAZZA,PONTE FORMAZZA,VB,PIEMONTE,
9216042,SEZIONE MEDA,MEDA,MB,LOMBARDIA,
9220065,SEZIONE ALPAGO,CHIES D'ALPAGO,BL,VENETO,
9244002,SEZIONE COSENZA,COSENZA,CS,CALABRIA,
9212079,SEZIONE MONCALIERI,MONCALIERI,TO,PIEMONTE,
9226015,SEZIONE MONTAGNA PISTOIESE-MARESCA,SAN MARCELLO PISTOIESE,PT,TOSCANA,
9232015,SEZIONE GALLINARO,GALLINARO,FR,LAZIO,
9216078,SEZIONE VEDANO OLONA,VEDANO OLONA,VA,LOMBARDIA,
9212025,SEZIONE BORGOMANERO,BORGOMANERO,NO,PIEMONTE,
9242003,SEZIONE MELFI,MELFI,PZ,BASILICATA,
9216085,SEZIONE CARNAGO,CARNAGO,VA,LOMBARDIA,
9234016,SEZIONE POPOLI,POPOLI,PE,ABRUZZO,
9216056,SEZIONE MELZO,MELZO,MI,LOMBARDIA,
9234013,SEZIONE AVEZZANO,AVEZZANO,AQ,ABRUZZO,
9234024,SEZIONE CARSOLI,CARSOLI,AQ,ABRUZZO,
9232002,SEZIONE SORA,SORA,FR,LAZIO,
9220019,SEZIONE MONTEBELLUNA,MONTEBELLUNA,TV,VENETO,
9102005,AGAI COLL. ALTO ADIGE,BOLZANO,BZ,EXTRA REGIONE,ASSOCIAZIONE GUIDE ALPINE ITALIANE
9102013,AGAI COLL. CAMPANIA,ERCOLANO,NA,EXTRA REGIONE,ASSOCIAZIONE GUIDE ALPINE ITALIANE
9102012,AGAI COLL. FRIULI V. G.,TRIESTE,TS,EXTRA REGIONE,ASSOCIAZIONE GUIDE ALPINE ITALIANE
9102003,AGAI COLL. LOMBARDIA,SONDRIO,SO,EXTRA REGIONE,ASSOCIAZIONE GUIDE ALPINE ITALIANE
9102001,AGAI COLL. PIEMONTE,TORINO,TO,EXTRA REGIONE,ASSOCIAZIONE GUIDE ALPINE ITALIANE
9102008,AGAI COLL. SICILIA,NICOLOSI,CT,EXTRA REGIONE,ASSOCIAZIONE GUIDE ALPINE ITALIANE
9102004,AGAI COLL. TRENTINO,TRENTO,TN,EXTRA REGIONE,ASSOCIAZIONE GUIDE ALPINE ITALIANE
9102002,AGAI COLL. VALLE D'AOSTA,AOSTA,AO,EXTRA REGIONE,ASSOCIAZIONE GUIDE ALPINE ITALIANE
9102006,AGAI COLL. VENETO,CORTINA D’AMPEZZO,BL,EXTRA REGIONE,ASSOCIAZIONE GUIDE ALPINE ITALIANE
9101002,GRUPPO CENTRALE C.A.A.I.,MILANO,MI,EXTRA REGIONE,SEZIONE C.A.A.I.
9101001,GRUPPO OCCIDENTALE C.A.A.I.,TORINO,TO,EXTRA REGIONE,SEZIONE C.A.A.I.
9118013,S.A.T. ALA,ALA,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118089,S.A.T. ALDENO,ALDENO,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118014,S.A.T. ALTA VAL DI FASSA,CANAZEI DI FASSA,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118016,S.A.T. ARCO,ARCO,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118017,S.A.T. AVIO,AVIO,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118093,S.A.T. BESENELLO,BESENELLO,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118018,S.A.T. BINDESI VILLAZZANO,VILLAZZANO,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118019,S.A.T. BORGO VALSUGANA,BORGO VALSUGANA,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118072,S.A.T. BRENTONICO,BRENTONICO,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118088,S.A.T. BRESIMO,BRESIMO,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118020,S.A.T. CALDONAZZO,CALDONAZZO,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118085,S.A.T. CIVEZZANO,CIVEZZANO,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118026,S.A.T. COGNOLA,COGNOLA,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118027,S.A.T. CORO,TRENTO,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118073,S.A.T. FIAVÉ,FIAVÉ,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118077,S.A.T. FOLGARIA,FOLGARIA,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118031,S.A.T. LAVARONE,LAVARONE,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118032,S.A.T. LAVIS,LAVIS,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118034,S.A.T. LEVICO TERME,LEVICO TERME,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118035,S.A.T. LISIGNAGO,CEMBRA LISIGNAGO,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118036,S.A.T. MALÉ ,MALÉ ,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118037,S.A.T. MATTARELLO,MATTARELLO,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118041,S.A.T. MORI,MORI,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118043,S.A.T. PERGINE,PERGINE VALSUGANA,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118044,S.A.T. PIEVE DI BONO,PIEVE DI BONO-PREZZO,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118047,S.A.T. PINZOLO ALTA RENDENA,PINZOLO,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118048,S.A.T. PONTE ARCHE,COMANO TERME,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118049,S.A.T. POVO,POVO,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118051,S.A.T. PREDAZZO,PREDAZZO,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118054,S.A.T. RABBI STERNAI,RABBI,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118075,S.A.T. RAVINA,RAVINA,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118056,S.A.T. RIVA DEL GARDA,RIVA DEL GARDA,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118057,S.A.T. ROVERETO,ROVERETO,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118058,S.A.T. SARDAGNA,SARDAGNA,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118060,S.A.T. S.MICHELE ALL'ADIGE,SAN MICHELE ALL'ADIGE,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118061,S.A.T. S.O.S.A.T.,TRENTO,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118081,S.A.T. SPORMAGGIORE,SPORMAGGIORE,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118087,S.A.T. STORO,STORO,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118063,S.A.T. S.U.S.A.T.,TRENTO,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118045,S.A.T. TESINO,PIEVE TESINO,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118078,S.A.T. TON,VIGO DI TON,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118068,S.A.T. TRENTO,TRENTO,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118092,S.A.T. VAL DI GRESTA,RONZO CHIENIS,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9118090,S.A.T. VAL GENOVA,CADERZONE,TN,TRENTINO-ALTO ADIGE,SEZIONE S.A.T.
9126018,SOTTOSEZIONE AGLIANA,AGLIANA,PT,TOSCANA,SEZIONE EMILIO BERTINI-PRATO
9116039,SOTTOSEZIONE AGRATE BRIANZA,AGRATE BRIANZA,MI,LOMBARDIA,SEZIONE CONCOREZZO
9112025,SOTTOSEZIONE ALAGNA,ALAGNA VALSESIA,VC,PIEMONTE,SEZIONE VARALLO SESIA
9116003,SOTTOSEZIONE ALBINO,ALBINO,BG,LOMBARDIA,SEZIONE BERGAMO
9116111,SOTTOSEZIONE ALDO MANTOVANI,MONZA,MB,LOMBARDIA,SEZIONE MONZA
9116133,SOTTOSEZIONE ALTA VALLE SERIANA,ARDESIO,BG,LOMBARDIA,SEZIONE BERGAMO
9132011,SOTTOSEZIONE ANAGNI,ANAGNI,FR,LAZIO,SEZIONE COLLEFERRO
9116092,SOTTOSEZIONE ARCORE,ARCORE,MB,LOMBARDIA,SEZIONE VIMERCATE
9110001,SOTTOSEZIONE ARENZANO,ARENZANO,GE,LIGURIA,SEZIONE LIGURE-GENOVA
9116060,SOTTOSEZIONE AROSIO,AROSIO,CO,LOMBARDIA,SEZIONE MARIANO COMENSE
9116126,SOTTOSEZIONE ARSAGO SEPRIO,ARSAGO SEPRIO,VA,LOMBARDIA,SEZIONE SOMMA LOMBARDO
9134001,SOTTOSEZIONE ARSITA,ARSITA,TE,ABRUZZO,SEZIONE CASTELLI
9122009,SOTTOSEZIONE ARTEGNA,ARTEGNA,UD,FRIULI-VENEZIA GIULIA,SEZIONE S.A.F.- UDINE
9122005,SOTTOSEZIONE AVIANO,AVIANO,PN,FRIULI-VENEZIA GIULIA,SEZIONE PORDENONE
9112002,SOTTOSEZIONE AVIGLIANA,AVIGLIANA,TO,PIEMONTE,SEZIONE ALPIGNANO
9126013,SOTTOSEZIONE BAGNONE,BAGNONE,MS,TOSCANA,SEZIONE PONTREMOLI
9116018,SOTTOSEZIONE BAGOLINO,BAGOLINO,BS,LOMBARDIA,SEZIONE BRESCIA
9116050,SOTTOSEZIONE BALLABIO,BALLABIO,LC,LOMBARDIA,SEZIONE LECCO
9134015,SOTTOSEZIONE BARETE,BARETE,AQ,ABRUZZO,SEZIONE L'AQUILA
9114002,SOTTOSEZIONE BARTHELEMY,NUS,AO,VALLE D'AOSTA,SEZIONE AOSTA
9116082,SOTTOSEZIONE BELLUSCO,BELLUSCO,MB,LOMBARDIA,SEZIONE MONZA
9116142,SOTTOSEZIONE BERBENNO,BERBENNO DI VALTELLINA,SO,LOMBARDIA,SEZIONE VALTELLINESE-SONDRIO
9112040,SOTTOSEZIONE BORGO SAN DALMAZZO,BORGO SAN DALMAZZO,CN,PIEMONTE,SEZIONE CUNEO
9112026,SOTTOSEZIONE BORGOSESIA,BORGOSESIA,VC,PIEMONTE,SEZIONE VARALLO SESIA
9122003,SOTTOSEZIONE BUJA,BUJA,UD,FRIULI-VENEZIA GIULIA,SEZIONE GEMONA DEL FRIULI
9116134,SOTTOSEZIONE BURAGO MOLGORA,BURAGO MOLGORA,MB,LOMBARDIA,SEZIONE VIMERCATE
9112010,SOTTOSEZIONE BUSCA,BUSCA,CN,PIEMONTE,SEZIONE CUNEO
9146017,SOTTOSEZIONE CACCAMO,CACCAMO,PA,SICILIA,SEZIONE POLIZZI GENEROSA
9126022,SOTTOSEZIONE CAI PACIFIC NORTHWEST,PISA,PI,TOSCANA,SEZIONE PISA
9112016,SOTTOSEZIONE CAMERI,CAMERI,NO,PIEMONTE,SEZIONE NOVARA
9112053,SOTTOSEZIONE CANDIOLO,CANDIOLO,TO,PIEMONTE,SEZIONE VIGONE
9120015,SOTTOSEZIONE CAPRINO VERONESE (Diventata Sezione),RIVOLI VERONESE,VR,VENETO,SEZIONE VERONA
9116045,SOTTOSEZIONE CASORATE SEMPIONE,CASORATE SEMPIONE,VA,LOMBARDIA,SEZIONE GALLARATE
9116067,SOTTOSEZIONE CASSA DI RISPARMIO,MILANO,MI,LOMBARDIA,SEZIONE MILANO
9126001,SOTTOSEZIONE CASSA DI RISPARMIO,FIRENZE,FI,TOSCANA,SEZIONE FIRENZE
9146001,SOTTOSEZIONE CASTELBUONO,,,SICILIA,SEZIONE PETRALIA SOTTANA
9132013,SOTTOSEZIONE CASTELGANDOLFO,CASTEL GANDOLFO,RM,LAZIO,SEZIONE FRASCATI
9146013,SOTTOSEZIONE CASTELLAMMARE DEL GOLFO,CASTELLAMMARE DEL GOLFO,TP,SICILIA,SEZIONE PALERMO
9124003,SOTTOSEZIONE CASTIGLIONE PEPOLI,CASTIGLIONE DEI PEPOLI,BO,EMILIA-ROMAGNA,SEZIONE BOLOGNA
9116136,SOTTOSEZIONE CAVENAGO BRIANZA,CAVENAGO DI BRIANZA,MB,LOMBARDIA,SEZIONE VIMERCATE
9124011,SOTTOSEZIONE CAVRIAGO,CAVRIAGO,RE,EMILIA-ROMAGNA,SEZIONE REGGIO EMILIA
9134009,SOTTOSEZIONE CELANO,CELANO,AQ,ABRUZZO,SEZIONE CARSOLI
9110006,SOTTOSEZIONE CENGIO,CENGIO GENEPRO,SV,LIGURIA,SEZIONE SAVONA
9124014,SOTTOSEZIONE CENTO,CORPO RENO,FE,EMILIA-ROMAGNA,SEZIONE FERRARA
9144003,SOTTOSEZIONE CERCHIARA DI CALABRIA,CERCHIARA DI CALABRIA,CS,CALABRIA,SEZIONE CASTROVILLARI
9112018,SOTTOSEZIONE CHIERI,CHIERI,TO,PIEMONTE,SEZIONE TORINO
9116019,SOTTOSEZIONE CIDNEO O.M.,BRESCIA,BS,LOMBARDIA,SEZIONE BRESCIA
9112008,SOTTOSEZIONE CIGLIANO,CIGLIANO,VC,PIEMONTE,SEZIONE CHIVASSO
9116005,SOTTOSEZIONE CISANO,CISANO BERGAMASCO,BG,LOMBARDIA,SEZIONE BERGAMO
9116046,SOTTOSEZIONE COLLIO VALTROMPIA,COLLIO,BS,LOMBARDIA,SEZIONE GARDONE VAL TROMPIA
9110003,SOTTOSEZIONE CORNIGLIANO,GENOVA,GE,LIGURIA,SEZIONE LIGURE-GENOVA
9134005,SOTTOSEZIONE CORTINO,CORTINO,TE,ABRUZZO,SEZIONE TERAMO
9112046,SOTTOSEZIONE C.R.A.L. C.R.T.,TORINO,TO,PIEMONTE,SEZIONE TORINO
9116131,SOTTOSEZIONE CUSANO MILANINO,CUSANO MILANINO,MI,LOMBARDIA,SEZIONE CINISELLO BALSAMO
9116096,SOTTOSEZIONE DARFO,DARFO BOARIO TERME,BG,LOMBARDIA,SEZIONE LOVERE
9112012,SOTTOSEZIONE DRONERO,DRONERO,CN,PIEMONTE,SEZIONE CUNEO
9116104,SOTTOSEZIONE EDELWEISS,MILANO,MI,LOMBARDIA,SEZIONE MILANO
9146018,SOTTOSEZIONE ERICE E AGRO ERICINO,FULGATORE,TP,SICILIA,SEZIONE PETRALIA SOTTANA
9122021,SOTTOSEZIONE FAEDIS,FAEDIS,UD,FRIULI-VENEZIA GIULIA,SEZIONE CIVIDALE DEL FRIULI
9120013,SOTTOSEZIONE FAMIGLIA ALPINISTICA,VERONA,VR,VENETO,SEZIONE VERONA
9126002,SOTTOSEZIONE FLOG,FIRENZE,FI,TOSCANA,SEZIONE FIRENZE
9144001,SOTTOSEZIONE FRASCINETO,CASTROVILLARI,CS,CALABRIA,SEZIONE COSENZA
9120010,SOTTOSEZIONE G.ALP. GIOV.MONT.,VERONA,VR,VENETO,SEZIONE VERONA
9116073,SOTTOSEZIONE G.A.M.,MILANO,MI,LOMBARDIA,SEZIONE MILANO
9116022,SOTTOSEZIONE GAVARDO,GAVARDO,BS,LOMBARDIA,SEZIONE BRESCIA
9116008,SOTTOSEZIONE GAZZANIGA,GAZZANIGA,BG,LOMBARDIA,SEZIONE BERGAMO
9112020,SOTTOSEZIONE G.E.A.T.,TORINO,TO,PIEMONTE,SEZIONE TORINO
9132008,SOTTOSEZIONE GENZANO,GENZANO DI ROMA,RM,LAZIO,SEZIONE FRASCATI
9116074,SOTTOSEZIONE GERVASUTTI,MILANO,MI,LOMBARDIA,SEZIONE MILANO
9116114,SOTTOSEZIONE G.E.S.A.,MILANO,MI,LOMBARDIA,SEZIONE MILANO
